iter	Logloss
0	0.6796099767
1	0.6674016437
2	0.6554412119
3	0.6425811623
4	0.6304821719
5	0.6184123975
6	0.6075673759
7	0.5968831501
8	0.5873776838
9	0.5781245299
10	0.5679864386
11	0.5583694241
12	0.5495064903
13	0.540491981
14	0.5322933107
15	0.5245537057
16	0.5166171106
17	0.5094801193
18	0.5017943179
19	0.4944845986
20	0.4876429119
21	0.4810943965
22	0.4750553872
23	0.4693506973
24	0.4623750081
25	0.4561309091
26	0.4504322576
27	0.4447509259
28	0.439831232
29	0.434604012
30	0.4293904237
31	0.4244213375
32	0.4198354567
33	0.4159177807
34	0.4113819068
35	0.4072716157
36	0.4027695498
37	0.3988571529
38	0.3950211222
39	0.3915857975
40	0.387708908
41	0.3845198934
42	0.3810620059
43	0.378063907
44	0.3753149385
45	0.3726228832
46	0.369632739
47	0.3667118741
48	0.3641610168
49	0.3612557361
50	0.3589923732
51	0.3565427229
52	0.3543235453
53	0.3518883583
54	0.3494975375
55	0.3469849356
56	0.3447269964
57	0.3423163608
58	0.3402538209
59	0.3381200492
60	0.335960569
61	0.3345151784
62	0.3326972853
63	0.3306872472
64	0.3288029314
65	0.3270771334
66	0.325566224
67	0.3238612894
68	0.3220573895
69	0.3204123691
70	0.3186459654
71	0.3173868622
72	0.3158444951
73	0.3140825028
74	0.3126389924
75	0.3114071887
76	0.3099220601
77	0.3088143154
78	0.3078198184
79	0.3065939808
80	0.3052447712
81	0.303883304
82	0.3029492997
83	0.3017890713
84	0.3007796952
85	0.2996000859
86	0.2986534082
87	0.2976905136
88	0.2967345974
89	0.2957606564
90	0.2951805332
91	0.294076802
92	0.2932097449
93	0.2923056978
94	0.2913834992
95	0.2905841484
96	0.2896807883
97	0.2888264046
98	0.2881224574
99	0.28747103
100	0.2867264589
101	0.2859728483
102	0.2850808239
103	0.2843167454
104	0.2835954422
105	0.2826895872
106	0.2820154344
107	0.2813917223
108	0.2803894694
109	0.279716112
110	0.279033679
111	0.2784377184
112	0.2779827931
113	0.2775221549
114	0.2768548541
115	0.2762036798
116	0.2756688267
117	0.2751111035
118	0.2744719338
